firm_id,sector,region,total_assets,debt_ratio,current_ratio,credit_score,default_flag
FIRM_00000,Finance,Singapore,4549.344645219095,0.9014246745307142,1.925684728402761,614.9040270519217,0
FIRM_00001,Retail,India,3105.903098146517,0.6501237890707943,1.1840753143164116,581.1134408512338,0
FIRM_00002,Energy,Australia,556.793660997551,0.9624674526615918,2.7874581489951806,567.2305411935278,0
FIRM_00003,Retail,Australia,1043.6994717317489,0.40568217417606667,2.6104869389690455,499.5580399185534,1
FIRM_00004,Retail,Singapore,7848.166678088249,0.4615642034203933,0.7115281537597149,510.9655296874596,1
FIRM_00005,Pharma,Japan,332.2932060620212,0.7477779048308713,2.8409367544555844,495.97515241448303,1
FIRM_00006,Energy,Singapore,160.57144637102013,0.6201118698706274,1.4155495930129962,486.0515634907795,1
FIRM_00007,Energy,China,641.561890752361,0.5750920723438886,1.3052147721137484,634.5791204515702,0
FIRM_00008,Energy,Singapore,1008.9062582218305,0.6180076374075327,1.358173392910343,805.0716035028568,0
FIRM_00009,Retail,China,491.66841921123927,0.6257217810488138,1.300045787429812,519.9664222261803,1
FIRM_00010,Finance,India,2912.916038229492,0.7891663817840783,1.7900629487779856,567.2715939767303,0
FIRM_00011,Energy,Australia,1353.7796362353497,0.7012738245835081,1.9494343044287814,693.7618105371473,0
FIRM_00012,Retail,Australia,599.1860986208901,0.9615828238138613,1.5640885935611473,494.54277543252414,1
FIRM_00013,Pharma,Japan,639.7087608594711,0.9531667162507899,1.5314473930012589,455.31698810765636,1
FIRM_00014,Finance,Singapore,519.9081215323065,0.47973056471040665,2.3432844865638303,401.6086221446973,1
FIRM_00015,Pharma,India,2514.260191942301,0.1321503485607194,0.5075688456948078,600.8460531776198,0
FIRM_00016,Finance,China,683.663621152919,0.10996730399685455,2.8672161538857424,531.7104845948941,1
FIRM_00017,Retail,Japan,332.64954578187803,0.21087406439909,2.286084140340491,463.33656671755426,1
FIRM_00018,Tech,India,2869.523825458658,0.167407659008286,2.268131321458544,527.6657272633549,1
FIRM_00019,Finance,India,831.8045661396945,0.43602944407378175,1.554908415521463,681.3016991191923,0
FIRM_00020,Pharma,China,281.49090749868833,0.14758713899560263,2.9144670540957054,551.7475460374868,0
FIRM_00021,Retail,China,6080.375420617782,0.6624226325234063,0.5008080792020349,677.3835816667402,0
FIRM_00022,Finance,Australia,2019.3822698679423,0.27115680339574955,0.6912035252900696,637.2787988115488,0
FIRM_00023,Tech,Singapore,1148.5425411547524,0.5625687867126289,2.5101607578547465,608.1587609522967,0
FIRM_00024,Tech,Japan,887.27409176833,0.19277090437036165,2.3467522028367993,591.359627541924,0
FIRM_00025,Energy,Singapore,828.5360039049627,0.8449561592454627,1.1783887404109223,659.7191013311896,0
FIRM_00026,Energy,Japan,811.8059554368447,0.8019629453739844,1.986899700321713,621.4887920536734,0
FIRM_00027,Pharma,India,834.1610226871588,0.4478384989462558,1.8301321279619045,611.5119768957658,0
FIRM_00028,Finance,China,608.0728570666512,0.9195339992730256,1.8177868603839804,398.01822395275656,1
FIRM_00029,Finance,China,988.9563774516037,0.26713058156683944,1.9889032609667723,560.8808658865265,0
FIRM_00030,Energy,India,596.1675832495542,0.8325430346917325,2.984338242531728,437.07972379611897,1
FIRM_00031,Finance,India,1371.2174668620391,0.5912698909389742,2.9683623579946548,483.8987279067448,1
FIRM_00032,Finance,Japan,1071.1872832542608,0.39662206146886647,2.954204235587408,692.6292892570027,0
FIRM_00033,Tech,India,544.3136048533356,0.175924841425847,1.8717109773675928,576.1447904153986,0
FIRM_00034,Energy,Japan,1005.4387483132823,0.25418001376697585,1.2952347322558375,756.9680047855354,0
