date,revenue
2020-01-01,1.0
2020-02-01,0.9839545851794113
2020-03-01,0.9974615790580574
2020-04-01,1.0217731067887321
2020-05-01,1.0582318017127812
2020-06-01,1.0780926212572532
2020-07-01,1.0532290031504337
2020-08-01,1.1068836583901476
2020-09-01,1.0905864342374774
2020-10-01,1.0687246346120356
2020-11-01,1.1001329920519558
2020-12-01,1.1431569937755164
2021-01-01,1.1255578791430607
2021-02-01,1.1021299642623523
2021-03-01,1.1554864765502983
2021-04-01,1.0807086659594902
2021-05-01,1.0397775158128062
2021-06-01,1.0646875027564884
2021-07-01,1.051072880102257
2021-08-01,1.05774435900589
2021-09-01,1.0198507469296765
2021-10-01,1.0406184835379757
2021-11-01,1.0352692634525358
2021-12-01,1.058345290375285
2022-01-01,1.1118690734140313
2022-02-01,1.1845244585256753
2022-03-01,1.235604035399977
2022-04-01,1.2591070355766814
2022-05-01,1.2831650818786753
2022-06-01,1.249075681054822
2022-07-01,1.275463314412713
2022-08-01,1.273892476505787
2022-09-01,1.3164490693580662
2022-10-01,1.3271936669618394
2022-11-01,1.3900695926611706
2022-12-01,1.333415120231974
2023-01-01,1.378231314803713
2023-02-01,1.4400202852181017
2023-03-01,1.4563849976565426
2023-04-01,1.4712730640871323
2023-05-01,1.4880761047397544
2023-06-01,1.5346772039606773
2023-07-01,1.616301537904423
2023-08-01,1.6216172951516366
2023-09-01,1.683596337967687
2023-10-01,1.680570491502182
2023-11-01,1.709557806424569
2023-12-01,1.7166253964219536
2024-01-01,1.7633141839303064
2024-02-01,1.787604978163712
2024-03-01,1.7598176955130809
2024-04-01,1.7438919736426846
2024-05-01,1.8054415449843915
2024-06-01,1.7919400768945832
